pair,mean,se,n_blocks
Ca-O_SiO2_Surface,0,0,20
Ca-O_SiO2_Structural,0,0,20
Ca-O_Water_IF_CaCoord,108.685,0.3519326341,20
CSH_Si-O_SiO2_Surface,0,0,20
CSH_Si-O_SiO2_Structural,0,0,20
Si_Surface-O_Hydroxyl_CSH,0,0,20
Si_Bulk-O_Hydroxyl_CSH,0,0,20
Si_Surface-O_NBO_CSH,0,0,20
Si_Bulk-O_NBO_CSH,0,0,20
Ca-O_SiO2_Surface_per_nm2,0,0,20
Ca-O_SiO2_Structural_per_nm2,0,0,20
Ca-O_Water_IF_CaCoord_per_nm2,5.599077208,0.01813035828,20
CSH_Si-O_SiO2_Surface_per_nm2,0,0,20
CSH_Si-O_SiO2_Structural_per_nm2,0,0,20
Si_Surface-O_Hydroxyl_CSH_per_nm2,0,0,20
Si_Bulk-O_Hydroxyl_CSH_per_nm2,0,0,20
Si_Surface-O_NBO_CSH_per_nm2,0,0,20
Si_Bulk-O_NBO_CSH_per_nm2,0,0,20
Ca-O_SiO2_Surface_per_nm3,0,0,20
Ca-O_SiO2_Structural_per_nm3,0,0,20
Ca-O_Water_IF_CaCoord_per_nm3,2.440866043,0.008166177488,20
CSH_Si-O_SiO2_Surface_per_nm3,0,0,20
CSH_Si-O_SiO2_Structural_per_nm3,0,0,20
Si_Surface-O_Hydroxyl_CSH_per_nm3,0,0,20
Si_Bulk-O_Hydroxyl_CSH_per_nm3,0,0,20
Si_Surface-O_NBO_CSH_per_nm3,0,0,20
Si_Bulk-O_NBO_CSH_per_nm3,0,0,20
Ca-O_SiO2_Surface_per_Ca,0,0,20
Ca-O_SiO2_Structural_per_Ca,0,0,20
Ca-O_Water_IF_CaCoord_per_Ca,0.4421842075,0.001478139646,20
CN_Ca_total_per_Ca,0.4421842075,0.001478139646,20
