frame,Ca-O_SiO2_Surface,Ca-O_SiO2_Structural,Ca-O_Water_IF_CaCoord,CSH_Si-O_SiO2_Surface,CSH_Si-O_SiO2_Structural,Si_Surface-O_Hydroxyl_CSH,Si_Bulk-O_Hydroxyl_CSH,Si_Surface-O_NBO_CSH,Si_Bulk-O_NBO_CSH,Ca-O_SiO2_Surface_per_nm2,Ca-O_SiO2_Structural_per_nm2,Ca-O_Water_IF_CaCoord_per_nm2,CSH_Si-O_SiO2_Surface_per_nm2,CSH_Si-O_SiO2_Structural_per_nm2,Si_Surface-O_Hydroxyl_CSH_per_nm2,Si_Bulk-O_Hydroxyl_CSH_per_nm2,Si_Surface-O_NBO_CSH_per_nm2,Si_Bulk-O_NBO_CSH_per_nm2,Ca-O_SiO2_Surface_per_nm3,Ca-O_SiO2_Structural_per_nm3,Ca-O_Water_IF_CaCoord_per_nm3,CSH_Si-O_SiO2_Surface_per_nm3,CSH_Si-O_SiO2_Structural_per_nm3,Si_Surface-O_Hydroxyl_CSH_per_nm3,Si_Bulk-O_Hydroxyl_CSH_per_nm3,Si_Surface-O_NBO_CSH_per_nm3,Si_Bulk-O_NBO_CSH_per_nm3,Ca-O_SiO2_Surface_per_Ca,Ca-O_SiO2_Structural_per_Ca,Ca-O_Water_IF_CaCoord_per_Ca,CN_Ca_total_per_Ca
0,0,0,102,0,0,0,0,0,0,0,0,5.254689011,0,0,0,0,0,0,0,0,2.296588659,0,0,0,0,0,0,0,0,0.4180327869,0.4180327869
1,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.403999289,0,0,0,0,0,0,0,0,0.4349593496,0.4349593496
2,0,0,103,0,0,0,0,0,0,0,0,5.30620557,0,0,0,0,0,0,0,0,2.311492005,0,0,0,0,0,0,0,0,0.4204081633,0.4204081633
3,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.438872818,0,0,0,0,0,0,0,0,0.4408163265,0.4408163265
4,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.432837899,0,0,0,0,0,0,0,0,0.4372469636,0.4372469636
5,0,0,101,0,0,0,0,0,0,0,0,5.203172452,0,0,0,0,0,0,0,0,2.268750836,0,0,0,0,0,0,0,0,0.4089068826,0.4089068826
6,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.402685804,0,0,0,0,0,0,0,0,0.4349593496,0.4349593496
7,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.478181946,0,0,0,0,0,0,0,0,0.4435483871,0.4435483871
8,0,0,115,0,0,0,0,0,0,0,0,5.924404277,0,0,0,0,0,0,0,0,2.581574194,0,0,0,0,0,0,0,0,0.4637096774,0.4637096774
9,0,0,112,0,0,0,0,0,0,0,0,5.7698546,0,0,0,0,0,0,0,0,2.519931589,0,0,0,0,0,0,0,0,0.4534412955,0.4534412955
10,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.462424351,0,0,0,0,0,0,0,0,0.4453441296,0.4453441296
11,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.432749076,0,0,0,0,0,0,0,0,0.4426229508,0.4426229508
12,0,0,102,0,0,0,0,0,0,0,0,5.254689011,0,0,0,0,0,0,0,0,2.287550098,0,0,0,0,0,0,0,0,0.4112903226,0.4112903226
13,0,0,101,0,0,0,0,0,0,0,0,5.203172452,0,0,0,0,0,0,0,0,2.271358025,0,0,0,0,0,0,0,0,0.4139344262,0.4139344262
14,0,0,102,0,0,0,0,0,0,0,0,5.254689011,0,0,0,0,0,0,0,0,2.292779286,0,0,0,0,0,0,0,0,0.4146341463,0.4146341463
15,0,0,104,0,0,0,0,0,0,0,0,5.357722129,0,0,0,0,0,0,0,0,2.336773236,0,0,0,0,0,0,0,0,0.4227642276,0.4227642276
16,0,0,107,0,0,0,0,0,0,0,0,5.512271806,0,0,0,0,0,0,0,0,2.407861072,0,0,0,0,0,0,0,0,0.4297188755,0.4297188755
17,0,0,109,0,0,0,0,0,0,0,0,5.615304924,0,0,0,0,0,0,0,0,2.443797845,0,0,0,0,0,0,0,0,0.4412955466,0.4412955466
18,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.411069834,0,0,0,0,0,0,0,0,0.4372469636,0.4372469636
19,0,0,110,0,0,0,0,0,0,0,0,5.666821483,0,0,0,0,0,0,0,0,2.473554885,0,0,0,0,0,0,0,0,0.4471544715,0.4471544715
20,0,0,108,0,0,0,0,0,0,0,0,5.563788365,0,0,0,0,0,0,0,0,2.423195253,0,0,0,0,0,0,0,0,0.4408163265,0.4408163265
21,0,0,116,0,0,0,0,0,0,0,0,5.975920836,0,0,0,0,0,0,0,0,2.604102097,0,0,0,0,0,0,0,0,0.4754098361,0.4754098361
