z(Angstrom),Total_mass_gcm3_mean,Total_mass_gcm3_se,CSH_Si_gcm3_mean,CSH_Si_gcm3_se,Ca_gcm3_mean,Ca_gcm3_se,H_Hydroxyl_CSH_gcm3_mean,H_Hydroxyl_CSH_gcm3_se,H_SiO2_Hydroxyl_gcm3_mean,H_SiO2_Hydroxyl_gcm3_se,H_Unbonded_CSH_gcm3_mean,H_Unbonded_CSH_gcm3_se,H_Unbonded_SiO2_gcm3_mean,H_Unbonded_SiO2_gcm3_se,H_Water_CSH_gcm3_mean,H_Water_CSH_gcm3_se,H_Water_IF_gcm3_mean,H_Water_IF_gcm3_se,O_Bridging_CSH_gcm3_mean,O_Bridging_CSH_gcm3_se,O_Hydroxyl_CSH_gcm3_mean,O_Hydroxyl_CSH_gcm3_se,O_NBO_CSH_gcm3_mean,O_NBO_CSH_gcm3_se,O_SiO2_Structural_gcm3_mean,O_SiO2_Structural_gcm3_se,O_SiO2_Surface_gcm3_mean,O_SiO2_Surface_gcm3_se,O_Unclassified_CSH_gcm3_mean,O_Unclassified_CSH_gcm3_se,O_Water_CSH_gcm3_mean,O_Water_CSH_gcm3_se,O_Water_IF_gcm3_mean,O_Water_IF_gcm3_se,O_Water_IF_CaCoord_gcm3_mean,O_Water_IF_CaCoord_gcm3_se,Si_Bulk_gcm3_mean,Si_Bulk_gcm3_se,Si_Surface_gcm3_mean,Si_Surface_gcm3_se
 0.099904, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0.299712, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0.49952, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0.699328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 0.899137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.098945, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.298753, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.498561, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.698369, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 1.898177, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.097985, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.297794, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.497602, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.69741, 0.0000215568, 0.0000215568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0000215568, 0.0000215568, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 2.897218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3.097026, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3.296834, 0.0000431135, 0.0000296728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0000431135, 0.0000296728, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3.496642, 0.000449952, 0.0003613306, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0001077838, 0.0000428289, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0003421682, 0.0003421682, 0, 0, 0, 0, 0, 0, 0, 0
 3.696451, 0.0002586812, 0.0000791274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0002586812, 0.0000791274, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 3.896259, 0.0007113732, 0.000157247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0007113732, 0.000157247, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
 4.096067, 0.0017433578, 0.0003641988, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0014011896, 0.0001394409, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0003421682, 0.0003421682, 0, 0, 0, 0, 0, 0, 0, 0
 4.295875, 0.0022121266, 0.00059747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001185622, 0.0001246217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0010265046, 0.0005605933, 0, 0, 0, 0, 0, 0, 0, 0
 4.495683, 0.0063424418, 0.0016110661, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.001552087, 0.0001860966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0047903548, 0.0015778057, 0, 0, 0, 0, 0, 0, 0, 0
 4.695491, 0.0147727863, 0.0018571666, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0021125628, 0.0002187214, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0126602235, 0.0020028727, 0, 0, 0, 0, 0, 0, 0, 0
 4.895299, 0.0221523295, 0.0024035392, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0023065737, 0.0001139604, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0198457558, 0.0023758039, 0, 0, 0, 0, 0, 0, 0, 0
 5.095108, 0.0172381141, 0.0024152848, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0028670496, 0.0002367115, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0143710645, 0.002427123, 0, 0, 0, 0, 0, 0, 0, 0
 5.294916, 0.0160579721, 0.0023127471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.002371244, 0.0002155676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0136867281, 0.0022202805, 0, 0, 0, 0, 0, 0, 0, 0
