pair,mean,se,n_blocks
H_Water_IF->O_SiO2_Surface,114.73,0.54527154,20
H_Water_IF->O_SiO2_Structural,0.115,0.024360235,20
H_Water_IF->O_Hydroxyl_CSH,29.47,0.593122868,20
H_Water_IF->O_NBO_CSH,16.92,0.337295747,20
H_Water_IF->O_Bridging_CSH,7.26,0.187980962,20
H_Water_IF->O_Water_CSH,24.72,0.354860981,20
H_Water_IF->O_Water_IF,199.95,0.714861047,20
H_Water_IF->O_Water_IF_CaCoord,12.245,0.243383496,20
H_Hydroxyl_CSH->O_SiO2_Surface,0.01,0.006882472,20
H_Hydroxyl_CSH->O_SiO2_Structural,0,0,20
H_Hydroxyl_CSH->O_Water_IF,26.3,0.353627815,20
H_Hydroxyl_CSH->O_Water_IF_CaCoord,4.495,0.143906951,20
H_Water_CSH->O_SiO2_Surface,11.065,0.231502529,20
H_Water_CSH->O_SiO2_Structural,0.005,0.005,20
H_Water_CSH->O_Water_IF,39.75,0.37964665,20
H_Water_CSH->O_Water_IF_CaCoord,5.555,0.249470492,20
H_SiO2_Hydroxyl->O_Hydroxyl_CSH,0,0,20
H_SiO2_Hydroxyl->O_NBO_CSH,0,0,20
H_SiO2_Hydroxyl->O_Water_CSH,0,0,20
H_SiO2_Hydroxyl->O_Bridging_CSH,0,0,20
H_SiO2_Hydroxyl->O_Water_IF,1.47,0.162723531,20
H_SiO2_Hydroxyl->O_Water_IF_CaCoord,0,0,20
H_Water_IF->O_SiO2_Surface_per_nm2,5.910494806,0.028090513,20
H_Water_IF->O_SiO2_Structural_per_nm2,0.005924404,0.001254955,20
H_Water_IF->O_Hydroxyl_CSH_per_nm2,1.518192992,0.030555649,20
H_Water_IF->O_NBO_CSH_per_nm2,0.871660177,0.017376316,20
H_Water_IF->O_Bridging_CSH_per_nm2,0.374010218,0.009684132,20
H_Water_IF->O_Water_CSH_per_nm2,1.273489337,0.018281217,20
H_Water_IF->O_Water_IF_per_nm2,10.30073596,0.036827181,20
H_Water_IF->O_Water_IF_CaCoord_per_nm2,0.630820264,0.01253828,20
H_Hydroxyl_CSH->O_SiO2_Surface_per_nm2,0.000515166,0.000354561,20
