frame,H_Water_IF->O_SiO2_Surface,H_Water_IF->O_SiO2_Structural,H_Water_IF->O_Hydroxyl_CSH,H_Water_IF->O_NBO_CSH,H_Water_IF->O_Bridging_CSH,H_Water_IF->O_Water_CSH,H_Water_IF->O_Water_IF,H_Water_IF->O_Water_IF_CaCoord,H_Hydroxyl_CSH->O_SiO2_Surface,H_Hydroxyl_CSH->O_SiO2_Structural,H_Hydroxyl_CSH->O_Water_IF,H_Hydroxyl_CSH->O_Water_IF_CaCoord,H_Water_CSH->O_SiO2_Surface,H_Water_CSH->O_SiO2_Structural,H_Water_CSH->O_Water_IF,H_Water_CSH->O_Water_IF_CaCoord,H_SiO2_Hydroxyl->O_Hydroxyl_CSH,H_SiO2_Hydroxyl->O_NBO_CSH,H_SiO2_Hydroxyl->O_Water_CSH,H_SiO2_Hydroxyl->O_Bridging_CSH,H_SiO2_Hydroxyl->O_Water_IF,H_SiO2_Hydroxyl->O_Water_IF_CaCoord,H_Water_IF->O_SiO2_Surface_per_nm2,H_Water_IF->O_SiO2_Structural_per_nm2,H_Water_IF->O_Hydroxyl_CSH_per_nm2,H_Water_IF->O_NBO_CSH_per_nm2,H_Water_IF->O_Bridging_CSH_per_nm2,H_Water_IF->O_Water_CSH_per_nm2,H_Water_IF->O_Water_IF_per_nm2,H_Water_IF->O_Water_IF_CaCoord_per_nm2,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm2,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm2,H_Hydroxyl_CSH->O_Water_IF_per_nm2,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm2,H_Water_CSH->O_SiO2_Surface_per_nm2,H_Water_CSH->O_SiO2_Structural_per_nm2,H_Water_CSH->O_Water_IF_per_nm2,H_Water_CSH->O_Water_IF_CaCoord_per_nm2,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm2,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_CSH_per_nm2,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_per_nm2,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm2,H_Water_IF->O_SiO2_Surface_per_nm3,H_Water_IF->O_SiO2_Structural_per_nm3,H_Water_IF->O_Hydroxyl_CSH_per_nm3,H_Water_IF->O_NBO_CSH_per_nm3,H_Water_IF->O_Bridging_CSH_per_nm3,H_Water_IF->O_Water_CSH_per_nm3,H_Water_IF->O_Water_IF_per_nm3,H_Water_IF->O_Water_IF_CaCoord_per_nm3,H_Hydroxyl_CSH->O_SiO2_Surface_per_nm3,H_Hydroxyl_CSH->O_SiO2_Structural_per_nm3,H_Hydroxyl_CSH->O_Water_IF_per_nm3,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_nm3,H_Water_CSH->O_SiO2_Surface_per_nm3,H_Water_CSH->O_SiO2_Structural_per_nm3,H_Water_CSH->O_Water_IF_per_nm3,H_Water_CSH->O_Water_IF_CaCoord_per_nm3,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_nm3,H_SiO2_Hydroxyl->O_NBO_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_CSH_per_nm3,H_SiO2_Hydroxyl->O_Bridging_CSH_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_per_nm3,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_nm3,H_Water_IF->O_SiO2_Surface_per_donor,H_Water_IF->O_SiO2_Structural_per_donor,H_Water_IF->O_Hydroxyl_CSH_per_donor,H_Water_IF->O_NBO_CSH_per_donor,H_Water_IF->O_Bridging_CSH_per_donor,H_Water_IF->O_Water_CSH_per_donor,H_Water_IF->O_Water_IF_per_donor,H_Water_IF->O_Water_IF_CaCoord_per_donor,H_Hydroxyl_CSH->O_SiO2_Surface_per_donor,H_Hydroxyl_CSH->O_SiO2_Structural_per_donor,H_Hydroxyl_CSH->O_Water_IF_per_donor,H_Hydroxyl_CSH->O_Water_IF_CaCoord_per_donor,H_Water_CSH->O_SiO2_Surface_per_donor,H_Water_CSH->O_SiO2_Structural_per_donor,H_Water_CSH->O_Water_IF_per_donor,H_Water_CSH->O_Water_IF_CaCoord_per_donor,H_SiO2_Hydroxyl->O_Hydroxyl_CSH_per_donor,H_SiO2_Hydroxyl->O_NBO_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_CSH_per_donor,H_SiO2_Hydroxyl->O_Bridging_CSH_per_donor,H_SiO2_Hydroxyl->O_Water_IF_per_donor,H_SiO2_Hydroxyl->O_Water_IF_CaCoord_per_donor
0,105,0,33,17,6,21,194,11,0,0,30,3,12,0,42,2,0,0,0,0,2,0,5.409238688,0,1.700046445,0.8757815018,0.3090993536,1.081847738,9.994212433,0.5666821483,0,0,1.545496768,0.1545496768,0.6181987072,0,2.163695475,0.1030331179,0,0,0,0,0.1030331179,0,2.364135384,0,0.7430139778,0.3827647764,0.1350934505,0.4728270768,4.368021566,0.2476713259,0,0,0.6754672525,0.06754672525,0.270186901,0,0.9456541535,0.04503115017,0,0,0,0,0.04503115017,0,0.1767676768,0,0.05555555556,0.02861952862,0.0101010101,0.03535353535,0.3265993266,0.01851851852,0,0,0.1030927835,0.01030927835,0.06976744186,0,0.2441860465,0.01162790698,0,0,0,0,0.01111111111,0
1,106,1,32,22,3,26,206,12,0,0,31,4,11,0,43,7,0,0,0,0,3,0,5.460755247,0.05151655893,1.648529886,1.133364297,0.1545496768,1.339430532,10.61241114,0.6181987072,0,0,1.597013327,0.2060662357,0.5666821483,0,2.215212034,0.3606159125,0,0,0,0,0.1545496768,0,2.381532006,0.02246728307,0.7189530584,0.4942802276,0.06740184922,0.5841493599,4.628260313,0.2696073969,0,0,0.6964857753,0.0898691323,0.2471401138,0,0.9660931722,0.1572709815,0,0,0,0,0.06740184922,0,0.1784511785,0.001683501684,0.05387205387,0.03703703704,0.005050505051,0.04377104377,0.3468013468,0.0202020202,0,0,0.1054421769,0.01360544218,0.06395348837,0,0.25,0.04069767442,0,0,0,0,0.01666666667,0
2,110,0,32,13,9,22,185,16,0,0,28,2,9,0,42,5,0,0,0,0,3,0,5.666821483,0,1.648529886,0.6697152661,0.4636490304,1.133364297,9.530563402,0.8242649429,0,0,1.44246365,0.1030331179,0.4636490304,0,2.163695475,0.2575827947,0,0,0,0,0.1545496768,0,2.468583694,0,0.7181334383,0.2917417093,0.2019750295,0.4937167388,4.15170894,0.3590667192,0,0,0.6283667585,0.0448833399,0.2019750295,0,0.9425501378,0.1122083497,0,0,0,0,0.06732500984,0,0.1854974705,0,0.05396290051,0.02192242833,0.01517706577,0.0370994941,0.3119730185,0.02698145025,0,0,0.09589041096,0.006849315068,0.05202312139,0,0.2427745665,0.0289017341,0,0,0,0,0.01666666667,0
3,115,0,31,15,5,19,203,15,0,0,29,3,12,0,39,7,0,0,0,0,3,0,5.924404277,0,1.597013327,0.772748384,0.2575827947,0.9788146197,10.45786146,0.772748384,0,0,1.493980209,0.1545496768,0.6181987072,0,2.009145798,0.3606159125,0,0,0,0,0.1545496768,0,2.596947908,0,0.7000468273,0.3387323358,0.1129107786,0.4290609587,4.584177611,0.3387323358,0,0,0.6548825159,0.06774646716,0.2709858686,0,0.8807040731,0.15807509,0,0,0,0,0.06774646716,0,0.1942567568,0,0.05236486486,0.02533783784,0.008445945946,0.03209459459,0.3429054054,0.02533783784,0,0,0.09931506849,0.0102739726,0.06936416185,0,0.225433526,0.04046242775,0,0,0,0,0.01666666667,0
4,109,0,23,13,12,28,192,14,0,0,35,7,14,0,34,6,0,0,0,0,3,0,5.615304924,0,1.184880855,0.6697152661,0.6181987072,1.44246365,9.891179315,0.721231825,0,0,1.803079563,0.3606159125,0.721231825,0,1.751563004,0.3090993536,0,0,0,0,0.1545496768,0,2.455364176,0,0.5181043674,0.292841599,0.2703153221,0.6307357516,4.325045154,0.3153678758,0,0,0.7884196895,0.1576839379,0.3153678758,0,0.7658934127,0.1351576611,0,0,0,0,0.06757883053,0,0.1841216216,0,0.03885135135,0.02195945946,0.02027027027,0.0472972973,0.3243243243,0.02364864865,0,0,0.1182432432,0.02364864865,0.08139534884,0,0.1976744186,0.03488372093,0,0,0,0,0.01666666667,0
5,114,0,29,17,6,21,212,14,1,0,30,3,13,0,43,1,0,0,0,0,4,0,5.872887718,0,1.493980209,0.8757815018,0.3090993536,1.081847738,10.92151049,0.721231825,0.05151655893,0,1.545496768,0.1545496768,0.6697152661,0,2.215212034,0.05151655893,0,0,0,0,0.2060662357,0,2.560768271,0,0.6514235074,0.3818689526,0.1347772774,0.4717204709,4.762130468,0.3144803139,0.02246287957,0,0.673886387,0.0673886387,0.2920174344,0,0.9659038214,0.02246287957,0,0,0,0,0.08985151827,0,0.1925675676,0,0.04898648649,0.02871621622,0.01013513514,0.03547297297,0.3581081081,0.02364864865,0.003424657534,0,0.102739726,0.0102739726,0.07428571429,0,0.2457142857,0.005714285714,0,0,0,0,0.02222222222,0
6,103,1,29,18,6,23,196,9,0,0,25,7,12,0,28,3,0,0,0,0,3,0,5.30620557,0.05151655893,1.493980209,0.9272980608,0.3090993536,1.184880855,10.09724555,0.4636490304,0,0,1.287913973,0.3606159125,0.6181987072,0,1.44246365,0.1545496768,0,0,0,0,0.1545496768,0,2.312865774,0.02245500752,0.651195218,0.4041901353,0.1347300451,0.5164651729,4.401181473,0.2020950676,0,0,0.5613751879,0.1571850526,0.2694600902,0,0.6287402105,0.06736502255,0,0,0,0,0.06736502255,0,0.1734006734,0.001683501684,0.04882154882,0.0303030303,0.0101010101,0.03872053872,0.32996633,0.01515151515,0,0,0.08333333333,0.02333333333,0.06976744186,0,0.1627906977,0.01744186047,0,0,0,0,0.01666666667,0
7,111,0,28,17,6,17,196,14,0,0,27,4,12,0,40,6,0,0,0,0,2,0,5.718338041,0,1.44246365,0.8757815018,0.3090993536,0.8757815018,10.09724555,0.721231825,0,0,1.390947091,0.2060662357,0.6181987072,0,2.060662357,0.3090993536,0,0,0,0,0.1030331179,0,2.500710872,0,0.6308099498,0.3829917552,0.1351735607,0.3829917552,4.415669649,0.3154049749,0,0,0.608281023,0.09011570712,0.2703471213,0,0.9011570712,0.1351735607,0,0,0,0,0.04505785356,0,0.1868686869,0,0.04713804714,0.02861952862,0.0101010101,0.02861952862,0.32996633,0.02356902357,0,0,0.09310344828,0.01379310345,0.06976744186,0,0.2325581395,0.03488372093,0,0,0,0,0.01111111111,0
8,116,0,25,20,5,24,190,21,0,0,31,4,12,0,40,6,0,0,0,0,3,0,5.975920836,0,1.287913973,1.030331179,0.2575827947,1.236397414,9.788146197,1.081847738,0,0,1.597013327,0.2060662357,0.6181987072,0,2.060662357,0.3090993536,0,0,0,0,0.1545496768,0,2.604022665,0,0.5612117813,0.448969425,0.1122423563,0.5387633101,4.265209538,0.4714178963,0,0,0.6959026088,0.08979388501,0.269381655,0,0.8979388501,0.1346908275,0,0,0,0,0.06734541376,0,0.1946308725,0,0.04194630872,0.03355704698,0.008389261745,0.04026845638,0.3187919463,0.03523489933,0,0,0.1036789298,0.01337792642,0.06936416185,0,0.2312138728,0.03468208092,0,0,0,0,0.01666666667,0
9,103,0,22,16,12,29,200,17,0,0,31,1,9,0,43,5,0,0,0,0,4,0,5.30620557,0,1.133364297,0.8242649429,0.6181987072,1.493980209,10.30331179,0.8757815018,0,0,1.597013327,0.05151655893,0.4636490304,0,2.215212034,0.2575827947,0,0,0,0,0.2060662357,0,2.317437086,0,0.4949865621,0.359990227,0.2699926703,0.6524822865,4.499877838,0.3824896162,0,0,0.6974810648,0.02249938919,0.2024945027,0,0.9674737351,0.1124969459,0,0,0,0,0.08999755675,0,0.1728187919,0,0.03691275168,0.02684563758,0.02013422819,0.04865771812,0.3355704698,0.02852348993,0,0,0.1061643836,0.003424657534,0.05263157895,0,0.2514619883,0.02923976608,0,0,0,0,0.02222222222,0
