pair,mean,se,n_blocks
OH_SiO2,180,0,20
OH_CSH_on_O_Hydroxyl,280.73,0.39470842,20
OH_CSH_on_O_Bridging,0,0,20
OH_CSH_Water,170.5,0.3140566493,20
OH_IF,377.995,0.6864276326,20
OH_IF_CaCoord,217.36,0.7034651078,20
OH_SiO2_per_nm2,9.272980608,0,20
OH_CSH_on_O_Hydroxyl_per_nm2,14.46224359,0.02033401958,20
OH_CSH_on_O_Bridging_per_nm2,0,0,20
OH_CSH_Water_per_nm2,8.783573298,0.01617911788,20
OH_IF_per_nm2,19.47300169,0.03536238959,20
OH_IF_CaCoord_per_nm2,11.19763925,0.03624010168,20
OH_SiO2_per_nm3,4.042420176,0.001124697097,20
OH_CSH_on_O_Hydroxyl_per_nm3,6.304534381,0.008705014774,20
OH_CSH_on_O_Bridging_per_nm3,0,0,20
OH_CSH_Water_per_nm3,3.82906922,0.007091804204,20
OH_IF_per_nm3,8.488906505,0.01468699895,20
OH_IF_CaCoord_per_nm3,4.881507573,0.01632295978,20
