frame,OH_SiO2,OH_CSH_on_O_Hydroxyl,OH_CSH_on_O_Bridging,OH_CSH_Water,OH_IF,OH_IF_CaCoord,OH_SiO2_per_nm2,OH_CSH_on_O_Hydroxyl_per_nm2,OH_CSH_on_O_Bridging_per_nm2,OH_CSH_Water_per_nm2,OH_IF_per_nm2,OH_IF_CaCoord_per_nm2,OH_SiO2_per_nm3,OH_CSH_on_O_Hydroxyl_per_nm3,OH_CSH_on_O_Bridging_per_nm3,OH_CSH_Water_per_nm3,OH_IF_per_nm3,OH_IF_CaCoord_per_nm3
0,180,281,0,170,390,204,9.272980608,14.47615306,0,8.757815018,20.09145798,10.50937802,4.052803515,6.326876599,0,3.827647764,8.781074283,4.593177317
1,180,286,0,170,380,214,9.272980608,14.73373585,0,8.757815018,19.57629239,11.02454361,4.044110953,6.425642959,0,3.819438123,8.537567568,4.807998578
2,180,282,0,170,387,206,9.272980608,14.52766962,0,8.757815018,19.93690831,10.61241114,4.039500591,6.328550925,0,3.815083891,8.68492627,4.622984009
3,180,284,0,170,376,216,9.272980608,14.63070274,0,8.757815018,19.37022616,11.12757673,4.064788029,6.413332224,0,3.838966472,8.49089055,4.877745635
4,180,285,0,170,376,216,9.272980608,14.6822193,0,8.757815018,19.37022616,11.12757673,4.054729832,6.4199889,0,3.829467063,8.469880093,4.865675798
5,180,283,0,172,390,202,9.272980608,14.57918618,0,8.860848136,20.09145798,10.4063449,4.043318322,6.356994917,0,3.863615285,8.760523031,4.537501672
6,180,289,0,170,380,214,9.272980608,14.88828553,0,8.757815018,19.57629239,11.02454361,4.041901353,6.489497172,0,3.817351278,8.532902856,4.805371609
7,180,282,0,170,374,220,9.272980608,14.52766962,0,8.757815018,19.26719304,11.33364297,4.05520682,6.353157352,0,3.829917552,8.425818615,4.956363891
8,180,282,0,170,366,230,9.272980608,14.52766962,0,8.757815018,18.85506057,11.84880855,4.040724825,6.330468893,0,3.816240113,8.216140478,5.163148388
9,180,278,0,170,372,224,9.272980608,14.32160338,0,8.757815018,19.16415992,11.5397092,4.049890054,6.254830194,0,3.824896162,8.369772778,5.039863178
10,180,278,0,172,376,220,9.272980608,14.32160338,0,8.860848136,19.37022616,11.33364297,4.029421665,6.223217905,0,3.850336258,8.417014145,4.924848702
11,180,278,0,174,380,216,9.272980608,14.32160338,0,8.963881254,19.57629239,11.12757673,4.054581793,6.262076325,0,3.919429067,8.559672674,4.865498152
12,180,285,0,170,392,204,9.272980608,14.6822193,0,8.757815018,20.1944911,10.50937802,4.036853115,6.391684098,0,3.812583497,8.791369005,4.575100197
13,180,280,0,172,394,202,9.272980608,14.4246365,0,8.860848136,20.29752422,10.4063449,4.047964798,6.29683413,0,3.868055251,8.860545169,4.542716051
14,180,283,0,172,390,204,9.272980608,14.57918618,0,8.860848136,20.09145798,10.50937802,4.046081093,6.361338608,0,3.866255267,8.766509035,4.585558572
15,180,283,0,172,386,208,9.272980608,14.57918618,0,8.860848136,19.88539175,10.71544426,4.044415216,6.358719479,0,3.864663429,8.673023741,4.673546472
16,180,284,0,172,382,214,9.272980608,14.63070274,0,8.860848136,19.67932551,11.02454361,4.05060741,6.390958358,0,3.870580414,8.596289059,4.815722143
17,180,282,0,172,378,218,9.272980608,14.52766962,0,8.860848136,19.47325928,11.23060985,4.035629468,6.322486167,0,3.856268158,8.474821883,4.887595689
18,180,285,0,170,380,216,9.272980608,14.6822193,0,8.757815018,19.57629239,11.12757673,4.018449723,6.362545394,0,3.795202516,8.483393859,4.822139667
19,180,280,0,172,376,220,9.272980608,14.4246365,0,8.860848136,19.37022616,11.33364297,4.047635266,6.296321525,0,3.867740365,8.455060333,4.947109769
